CustomerKey,Segment,Segment_Name,Recency,Frequency,Monetary,AvgOrderValue,TotalQuantity,AnnualIncome,TotalChildren,DaysSinceLastPurchase_Log,PurchaseFrequency_Log,LifetimeValue_Log,EngagementScore
11000,0,VIP At-Risk,238,2,4656.3896,665.1985142857144,10,90000,2,5.476463551931511,1.0986122886681098,8.446210398491102,38.965603347280336
11001,0,VIP At-Risk,18,2,2821.2122000000004,282.12122000000005,15,60000,3,2.9444389791664403,1.0986122886681098,7.945276324483001,296.96970526315795
11002,0,VIP At-Risk,307,2,4466.812400000001,1488.937466666667,3,60000,3,5.730099782973574,1.0986122886681098,8.404654171841166,29.005275324675328
11003,0,VIP At-Risk,231,2,4532.9866,566.623325,11,70000,0,5.44673737166631,1.0986122886681098,8.419356875615378,39.07747068965517
11004,0,VIP At-Risk,240,2,4568.0838,913.61676,6,80000,5,5.484796933490655,1.0986122886681098,8.427067982388731,37.909409128630706
11005,0,VIP At-Risk,239,2,4502.7596,900.5519200000001,6,70000,0,5.480638923341991,1.0986122886681098,8.412667793617068,37.52299666666667
11007,0,VIP At-Risk,283,2,4590.742399999999,655.8203428571427,9,60000,3,5.648974238161206,1.0986122886681098,8.4320148388649,32.329171830985906
11008,0,VIP At-Risk,300,2,4502.6982,750.4497,9,60000,4,5.707110264748875,1.0986122886681098,8.412654160469653,29.918260465116276
11009,0,VIP At-Risk,232,2,4471.392400000001,1117.8481000000002,5,70000,0,5.4510384535657,1.0986122886681098,8.405678756960437,38.38105064377683
11010,0,VIP At-Risk,218,2,4459.1008,1486.3669333333337,5,70000,0,5.389071729816501,1.0986122886681098,8.402926645655574,40.72238173515982
11011,0,VIP At-Risk,283,2,4487.1582,1495.7194,3,60000,4,5.648974238161206,1.0986122886681098,8.409197696135648,31.599705633802817
11012,1,New Engaged,74,2,91.1842,18.23684,8,100000,2,4.31748811353631,1.0986122886681098,4.523788749283256,2.4315786666666668
11013,1,New Engaged,258,1,41.6242,20.8121,3,100000,2,5.556828061699537,0.6931471805599453,3.752422167099108,0.16071119691119692
11014,1,New Engaged,241,2,190.8927,31.81545,10,100000,3,5.488937726156687,1.0986122886681098,5.256936361643921,1.5776256198347107
11015,1,New Engaged,343,1,2274.3796,758.1265333333334,4,30000,0,5.840641657373398,0.6931471805599453,7.729902174608803,6.611568604651163
11016,1,New Engaged,321,1,2088.6782,696.2260666666666,4,30000,0,5.7745515455444085,0.6931471805599453,7.644765361812194,6.486578260869565
11017,0,VIP At-Risk,75,2,2835.4082,945.1360666666666,4,20000,4,4.330733340286331,1.0986122886681098,7.95029381241424,74.61600526315789
11018,0,VIP At-Risk,65,2,2919.3338000000003,486.5556333333334,9,30000,2,4.189654742026425,1.0986122886681098,7.979453203797351,88.46466060606062
11019,0,VIP At-Risk,18,15,961.9158,33.169510344827586,51,40000,0,2.9444389791664403,2.772588722239781,6.8699659728768045,759.4072105263158
11020,1,New Engaged,363,1,2093.0582,1046.5291,3,40000,0,5.8971538676367405,0.6931471805599453,7.64685918474052,5.75015989010989
11021,1,New Engaged,338,1,2148.0481999999997,716.0160666666666,4,40000,0,5.82600010738045,0.6931471805599453,7.672780325427745,6.336425368731563
11022,1,New Engaged,341,1,2073.7096,1036.8548,2,40000,0,5.834810737062605,0.6931471805599453,7.637576471063402,6.0634783625730995
11023,1,New Engaged,313,1,142.93,35.7325,6,40000,0,5.749392985908253,0.6931471805599453,4.96932707027458,0.4551910828025478
11024,1,New Engaged,154,2,78.02000000000001,13.003333333333336,11,60000,0,5.043425116919247,1.0986122886681098,4.369700984983245,1.006709677419355
11025,0,VIP At-Risk,64,2,2975.2196000000004,595.0439200000001,6,10000,2,4.174387269895637,1.0986122886681098,7.998409183553191,91.54521846153847
11026,0,VIP At-Risk,74,2,2988.8058,498.1343,10,30000,2,4.31748811353631,1.0986122886681098,8.002963714442625,79.701488
11027,0,VIP At-Risk,65,2,2998.9008,374.8626,13,30000,2,4.189654742026425,1.0986122886681098,8.006334500436866,90.87578181818182
11028,0,VIP At-Risk,82,2,2853.3496,713.3374,5,30000,2,4.418840607796598,1.0986122886681098,7.956599285279132,68.75541204819277
11029,0,VIP At-Risk,47,2,2929.3638,488.2273,8,30000,2,3.871201010907891,1.0986122886681098,7.982881858125949,122.056825
11030,0,VIP At-Risk,49,2,2831.058,943.686,4,10000,2,3.912023005428146,1.0986122886681098,7.948758934829882,113.24232
11031,0,VIP At-Risk,45,2,2839.0296000000003,567.80592,6,20000,4,3.828641396489095,1.0986122886681098,7.951569753636149,123.43606956521741
11032,0,VIP At-Risk,50,2,2954.5380000000005,328.28200000000004,15,20000,4,3.9318256327243257,1.0986122886681098,7.991435977566306,115.86423529411766
11033,0,VIP At-Risk,53,2,2892.6622,482.1103666666667,9,20000,4,3.9889840465642745,1.0986122886681098,7.970278176121539,107.13563703703704
11034,0,VIP At-Risk,48,2,2845.4382,948.4794,3,20000,4,3.8918202981106265,1.0986122886681098,7.95382373728245,116.14033469387755
11035,0,VIP At-Risk,43,2,2832.7396000000003,708.1849000000001,5,10000,2,3.784189633918261,1.0986122886681098,7.949352531766482,128.76089090909093
11036,1,New Engaged,339,1,2105.0638000000004,1052.5319000000002,2,60000,0,5.8289456176102075,0.6931471805599453,7.652575986632016,6.19136411764706
11037,1,New Engaged,341,1,2182.2781999999997,311.75402857142853,11,40000,0,5.834810737062605,0.6931471805599453,7.688582787733956,6.380930409356725
11038,0,VIP At-Risk,46,2,2813.7696,1406.8848,2,10000,2,3.8501476017100584,1.0986122886681098,7.94263568997723,119.73487659574468
11039,0,VIP At-Risk,47,2,3040.8864000000003,380.1108,13,30000,3,3.871201010907891,1.0986122886681098,8.020233128269211,126.70360000000001
11040,1,New Engaged,268,1,2133.3596,711.1198666666668,5,30000,0,5.594711379601839,0.6931471805599453,7.665921927506185,7.9307048327137535
11041,1,New Engaged,347,1,2134.5782,711.5260666666667,3,60000,0,5.8522024797744745,0.6931471805599453,7.6664927086698285,6.13384540229885
11042,0,VIP At-Risk,72,2,2861.8369,953.9456333333334,3,70000,0,4.290459441148391,1.0986122886681098,7.959568335260205,78.4064904109589
11043,1,New Engaged,131,2,60.2684,20.089466666666667,5,60000,0,4.882801922586371,1.0986122886681098,4.115264212474604,0.9131575757575757
11044,0,VIP At-Risk,50,2,2908.3982,484.73303333333337,8,20000,2,3.9318256327243257,1.0986122886681098,7.975701534654905,114.05483137254902
11045,1,New Engaged,60,2,141.67149999999998,35.417874999999995,6,30000,3,4.110873864173311,1.0986122886681098,4.960544784844497,4.644967213114754
11046,0,VIP At-Risk,46,2,3015.8558000000003,603.1711600000001,6,30000,3,3.8501476017100584,1.0986122886681098,8.011970442193139,128.33428936170213
11047,0,VIP At-Risk,39,2,2933.7696,977.9232,3,30000,3,3.6888794541139363,1.0986122886681098,7.984384228329055,146.68848
11048,0,VIP At-Risk,3,2,2908.5865999999996,415.5123714285714,11,30000,3,1.3862943611198906,1.0986122886681098,7.975766288218127,1454.2932999999998
11049,1,New Engaged,60,2,96.52,19.304,9,40000,0,4.110873864173311,1.0986122886681098,4.5800574851730165,3.164590163934426
11050,0,VIP At-Risk,39,2,1652.9442,330.58884,6,30000,3,3.6888794541139363,1.0986122886681098,7.410918138617937,82.64721
11052,0,VIP At-Risk,214,2,4519.0724,753.1787333333333,8,40000,2,5.3706380281276624,1.0986122886681098,8.41628329039711,42.03788279069767
