Date,Revenue,Profit,Orders,Quantity
2015-01-01,1760974.9984,707085.2422000001,547,547
2015-04-01,1982678.6032,799374.606,622,622
2015-07-01,1366630.6978,555554.4092,721,721
2015-10-01,1294649.2809,539588.0750000001,740,740
2016-01-01,1378550.4021,581699.7936,775,775
2016-04-01,1574317.1436,670279.8104000001,931,931
2016-07-01,2572293.348,1101311.9005,3617,13882
2016-10-01,3799042.898,1613792.6225000003,5372,20642
2017-01-01,4062216.0833,1722870.789,5531,21175
2017-04-01,5123233.364,2166158.1858,6308,24139
