Feature,Importance
ReturnRate,0.42561040352619195
ReturnFrequency,0.2935048554259376
TotalSalesQuantity,0.07476562141716726
TotalOrders,0.06557619132702551
ProductPrice,0.027452929795881244
AvgRevenuePerOrder,0.01899332224203189
TotalRevenue,0.017030319373976383
PriceRange,0.016317475612163068
TotalProfit,0.014186295035523376
ProductCost,0.011196685137015506
SalesVolumeCategory,0.009998666417228687
CostPriceRatio,0.008658087696119405
ProfitMargin,0.0056366392669401815
AvgQuantityPerOrder,0.0030266275248119847
SubcategoryName,0.002946342231036176
HasSize,0.0019502104250819436
HasColor,0.0013751239513984247
CategoryName,0.0010732796877353332
HasStyle,0.0007009239067338543
